dlga_dplmc_constable_talk_prisoner_select:dplmc_constable_pretalk|Ни один.
dlga_dplmc_constable_exchange_prisoner_ask_confirm:dplmc_constable_exchange_prisoner_confirm|Как пожелаете, я скажу охранникам отпустить {s10} {s11}.
dlga_dplmc_constable_exchange_prisoner_confirm:dplmc_constable_pretalk|Очень хорошо.
dlga_dplmc_constable_exchange_prisoner_confirm:dplmc_constable_pretalk.1|Нет, я изменил свое мнение.
dlga_dplmc_constable_talk:dplmc_constable_reports_ask|Мне нужен доклад.
dlga_dplmc_constable_reports_ask:dplmc_constable_reports|О чем мне доложить Вам, милорд?
dlga_dplmc_constable_reports:dplmc_constable_kingdom_overview|Пожалуйста, доложите мне об армии королевства.
dlga_dplmc_constable_reports:dplmc_constable_overview|Пожалуйста, доложите мне о моей армии.
dlga_dplmc_constable_reports:dplmc_constable_lord|Пожалуйста, доложите мне статус сопровождения лорда.
dlga_dplmc_constable_lord:dplmc_constable_status_lord_select|О каком лорде Вы хотите получить информацию?
dlga_dplmc_constable_status_lord_select:dplmc_constable_reports_ask|Неважно.
dlga_dplmc_constable_reports:dplmc_constable_status|Пожалуйста, доложите мне статус гарнизона феода.
dlga_dplmc_constable_status:dplmc_constable_status_select_fief|О каком феодальном владении Вам хотелось бы получить информацию?
dlga_dplmc_constable_status_select_fief:dplmc_constable_reports_ask|Неважно.
dlga_dplmc_constable_reports:dplmc_constable_pretalk|Спасибо, пока - это все.
dlga_dplmc_constable_talk:dplmc_constable_recruits_and_training_ask|Давайте поговорим о рекрутах и их обучении.
dlga_dplmc_constable_recruits_and_training_ask:dplmc_constable_recruits_and_training|Конечно.
dlga_dplmc_constable_recruits_and_training:dplmc_constable_train_ask|Не могли бы Вы обучить некоторых рекрутов для меня?
dlga_dplmc_constable_train_ask:dplmc_constable_train_select|Конечно, где мне тренировать их?
dlga_dplmc_constable_train_type_ask:dplmc_constable_train_type|Вы хотите нанять воинов ближнего или дальнего боя?
dlga_dplmc_constable_train_type:dplmc_constable_train_improved_ask|Ближнего боя.
dlga_dplmc_constable_train_type:dplmc_constable_train_improved_ask.1|Дальнего боя.
dlga_dplmc_constable_train_type:dplmc_constable_pretalk|Никаких...
dlga_dplmc_constable_train_improved_ask:dplmc_constable_train_improved|Если Вы хотите, то я могу нанять дополнительных тренеров. Таким образом, мы сможем обучать новичков быстрее и лучше. Но это стоит нам дополнительных 10 динар в день.
dlga_dplmc_constable_train_improved:dplmc_constable_train_center|Да, Пожалуйста, наймите еще тренеров.
dlga_dplmc_constable_train_improved:dplmc_constable_train_center.1|Нет, не нужно никого нанимать.
dlga_dplmc_constable_train_center:dplmc_constable_pretalk|Хорошо, я буду обучать новичков в {s11}. Пожалуйста, удостоверьтесь, что у нас есть достаточно денег в казне, чтобы заплатить за обмундирование {s13}..
dlga_dplmc_constable_train_select:dplmc_constable_pretalk|Я изменил свое мнение, может быть вы не будете тренировать.
dlga_dplmc_constable_recruits_and_training:dplmc_constable_train_stop|Пожалуйста, прекратите тренировку рекрутов в {s11}.
dlga_dplmc_constable_train_stop:dplmc_constable_pretalk|Как пожелаете.
dlga_dplmc_constable_recruits_and_training:dplmc_constable_recruit|Я хочу нанять новых солдат.
dlga_dplmc_constable_recruit:dplmc_constable_pretalk|Мы нуждаемся в казне, чтобы нанять новых солдат. Сначала назначьте камергера.
dlga_dplmc_constable_recruit:dplmc_constable_pretalk.1|Вы уже наняли максимальное количество {reg0? 4:2} вербовщики от этого {reg0? города:замка}.
dlga_dplmc_constable_recruit:dplmc_constable_recruit_select|Если желаете, я пошлю вербовщика по деревням Ваших земель. Когда он соберет то количество рекрутов, что вы приказали, он вернется и я зачислю их в гарнизон этого {reg0? города:замка}. Одновременно мы можем послать 2 вербовщиков из замка и 4 из города. Каких рекрутов Вы хотите нанять?
dlga_dplmc_constable_recruit_select:dplmc_constable_recruit_amount|{s11}.
dlga_dplmc_constable_recruit_amount:dplmc_constable_recruit_amount_select|Вы должны заплатить 20 динар за каждого новичка и 10 динар вербовщику. Я возьму деньги из казны. За какое количество новичков Вы желаете заплатить?
dlga_dplmc_constable_recruit_amount_select:dplmc_constable_recruit_confirm_ask|5.
dlga_dplmc_constable_recruit_amount_select:dplmc_constable_recruit_confirm_ask.1|10.
dlga_dplmc_constable_recruit_amount_select:dplmc_constable_recruit_confirm_ask.2|20.
dlga_dplmc_constable_recruit_amount_select:dplmc_constable_recruit_confirm_ask.3|30.
dlga_dplmc_constable_recruit_amount_select:dplmc_constable_recruit_confirm_ask.4|40.
dlga_dplmc_constable_recruit_amount_select:dplmc_constable_recruit_confirm_ask.5|50.
dlga_dplmc_constable_recruit_confirm_ask:dplmc_constable_recruit_confirm|Вы действительно хотите обучить {s6} {s11} крестьян?
dlga_dplmc_constable_recruit_confirm:dplmc_constable_pretalk|Да.
dlga_dplmc_constable_recruit_confirm:dplmc_constable_pretalk.1|Нет.
dlga_dplmc_constable_recruit_amount_select:dplmc_constable_pretalk|Ничего.
dlga_dplmc_constable_recruits_and_training:dplmc_constable_pretalk|Я изменил свое мнение.
dlga_dplmc_constable_talk:dplmc_constable_security_ask|Давайте поговорим о патрулях.
dlga_dplmc_constable_security_ask:dplmc_constable_security|Конечно.
dlga_dplmc_constable_security:dplmc_constable_move_troops|Я хочу перебросить войска в другое место.
dlga_dplmc_constable_move_troops:dplmc_constable_move_troops_location|Куда вы хотите послать войска?
dlga_dplmc_constable_move_troops_location:dplmc_constable_pretalk|Никуда.
dlga_dplmc_constable_move_troops_location_confirm_ask:dplmc_constable_pretalk|Вы не выбрали ни одного воина. Похоже, Вы изменили свое решение.
dlga_dplmc_constable_move_troops_location_confirm_ask:dplmc_constable_move_troops_location_confirm|Вы в самом деле хотите перебросить войска в {s9}? Это будет стоить нам {reg5} динар.
dlga_dplmc_constable_move_troops_location_confirm:dplmc_constable_pretalk|Да, сделай это.
dlga_dplmc_constable_move_troops_location_confirm:dplmc_constable_pretalk.1|Нет. Лучше я пока проверю, сможем ли мы обеспечить это.
dlga_dplmc_constable_security:dplmc_constable_patrol_size_ask|Я хочу завербовать патруль.
dlga_dplmc_constable_patrol_size_ask:dplmc_constable_patrol_size|Вы хотите нанять малый патруль за 1000 динар, средний патруль за 2000 динар или большой патруль за 3000 динар? Вы также можете нанять маленький элитный отряд за 2000 динар. Нам нужно будет еженедельно выплачивать войскам жалование, так что убедитесь, что в казне достаточно средств.
dlga_dplmc_constable_patrol_size_ask:dplmc_constable_patrol_size.1|Сейчас у нас нет свежих войск, и не будет еще {reg0} дней. Но вы можете взять бойцов из гарнизона.
dlga_dplmc_constable_patrol_size:dplmc_constable_patrol_garrison|Возьмите войска из гарнизона.
dlga_dplmc_constable_patrol_garrison:dplmc_constable_patrol_garrison_location|Куда вы хотите отправить патруль?
dlga_dplmc_constable_patrol_garrison_confirm_ask:dplmc_constable_patrol_garrison_confirm|Вы в самом деле хотите отправить патруль в {s9}?
dlga_dplmc_constable_patrol_garrison_confirm:dplmc_constable_pretalk|Да, сделай это.
dlga_dplmc_constable_patrol_garrison_confirm:dplmc_constable_pretalk.1|Нет, подожди.
dlga_dplmc_constable_patrol_size:dplmc_constable_patrol_location_ask|Малый отряд.
dlga_dplmc_constable_patrol_size:dplmc_constable_patrol_location_ask.1|Средний отряд.
dlga_dplmc_constable_patrol_size:dplmc_constable_patrol_location_ask.2|Большой отряд.
dlga_dplmc_constable_patrol_size:dplmc_constable_patrol_location_ask.3|Получить лучшие войска из округи.
dlga_dplmc_constable_patrol_size:dplmc_constable_pretalk|Ничего.
dlga_dplmc_constable_patrol_location_ask:dplmc_constable_patrol_location|Куда Вы хотите послать патруль?
dlga_dplmc_constable_patrol_location:dplmc_constable_pretalk|Никуда.
dlga_dplmc_constable_patrol_confirm_ask:dplmc_constable_patrol_confirm|Вы действительно хотите послать {s8} патрулировать {s9}?
dlga_dplmc_constable_patrol_confirm:dplmc_constable_pretalk|Да.
dlga_dplmc_constable_patrol_confirm:dplmc_constable_pretalk.1|Нет.
dlga_dplmc_constable_security:dplmc_constable_patrol_change_ask|Я хочу изменить цель патрулирования.
dlga_dplmc_constable_patrol_change_ask:dplmc_constable_patrol_change|Какой патруль изменит цель?
dlga_dplmc_constable_patrol_change:dplmc_constable_security_ask|Ничего.
dlga_dplmc_constable_patrol_change_target_ask:dplmc_constable_patrol_change_target|Куда Вы хотите послать их?
dlga_dplmc_constable_patrol_change_target:dplmc_constable_security_ask|Никуда.
dlga_dplmc_constable_patrol_change_target_confirm_ask:dplmc_constable_patrol_change_target_confirm|
dlga_dplmc_constable_patrol_change_target_confirm:dplmc_constable_security_ask|Спасибо.
dlga_dplmc_constable_patrol_change_target_confirm:dplmc_constable_security_ask.1|Оу, возможно нет.
dlga_dplmc_constable_security:dplmc_constable_patrol_to_center_ask|Я хочу чтобы патруль вернулся в центр.
dlga_dplmc_constable_patrol_to_center_ask:dplmc_constable_patrol_to_center|Какой патруль должен вернуться в центр?
dlga_dplmc_constable_patrol_to_center:dplmc_constable_security_ask|Никакой.
dlga_dplmc_constable_patrol_to_center_target_ask:dplmc_constable_patrol_to_center_target|Куда вы хотите отправить его?
dlga_dplmc_constable_patrol_to_center_target:dplmc_constable_security_ask|Никуда.
dlga_dplmc_constable_patrol_change_to_center_confirm_ask:dplmc_constable_patrol_to_center_confirm|Как пожелаете, Я пошлю гонца с приказом патрулю "{s6}" переместиться в {s5}.
dlga_dplmc_constable_patrol_to_center_confirm:dplmc_constable_security_ask|Благодарю Вас.
dlga_dplmc_constable_patrol_to_center_confirm:dplmc_constable_security_ask.1|Может быть и нет....
dlga_dplmc_constable_security:dplmc_constable_patrol_disband_ask|Я хочу распустить патруль.
dlga_dplmc_constable_patrol_disband_ask:dplmc_constable_patrol_disband|Какой из патрулей Вы желаете распустить?
dlga_dplmc_constable_patrol_disband:dplmc_constable_pretalk|Ничего.
dlga_dplmc_constable_patrol_disband_confirm_ask:dplmc_constable_patrol_disband_confirm|Как пожелаете, милорд, я пошлю человека, чтобы он передал Ваш приказ {s5} разойтись.
dlga_dplmc_constable_patrol_disband_confirm:dplmc_constable_security_ask|Благодарю Вас.
dlga_dplmc_constable_patrol_disband_confirm:dplmc_constable_security_ask.1|Нет.
dlga_dplmc_constable_security:dplmc_constable_pretalk|Неважно.
dlga_dplmc_constable_talk:dplmc_constable_prisoner|У меня есть несколько заключенных, Вы можете продать их для меня?
dlga_dplmc_constable_prisoner:dplmc_constable_pretalk|Конечно.
dlga_dplmc_constable_talk:dplmc_constable_dismiss_confirm_ask|Вы уволены.
dlga_dplmc_constable_dismiss_confirm_ask:dplmc_constable_dismiss_confirm|Вы уверены, что не нуждаетесь во мне больше?
dlga_dplmc_constable_dismiss_confirm:dplmc_constable_dismiss_confirm_yes|Да.
dlga_dplmc_constable_dismiss_confirm_yes:close_window|Как пожелаете.
dlga_dplmc_constable_dismiss_confirm:dplmc_constable_pretalk|Нет.
dlga_dplmc_constable_talk:close_window|Спасибо, я вернусь к Вам позже.
dlga_start:dplmc_chamberlain_talk|Да, господин?
dlga_dplmc_chamberlain_pretalk:dplmc_chamberlain_talk|Что-нибудь еще, господин?
dlga_dplmc_chamberlain_talk:dplmc_chamberlain_overview|Пожалуйста, доложите мне о наших финансовых делах.
dlga_dplmc_chamberlain_talk:dplmc_chamberlain_treasury|Давайте посмотрим нашу казну.
dlga_dplmc_chamberlain_treasury:dplmc_chamberlain_treasury_action|Сейчас {s4} динар в казне и у нас {s6} динар долга. Что бы Вы хотели сделать?
dlga_dplmc_chamberlain_treasury_action:dplmc_chamberlain_treasury_action_pay|Я бы хотел положить деньги в казну.
dlga_dplmc_chamberlain_treasury_action_pay:dplmc_chamberlain_treasury_action_pay_select|У нас {s4} динар в казне. На сколько Вы хотите пополнить казну, господин?
dlga_dplmc_chamberlain_treasury_action_pay_select:dplmc_chamberlain_treasury_action_pay|100.
dlga_dplmc_chamberlain_treasury_action_pay_select:dplmc_chamberlain_treasury_action_pay.1|200.
dlga_dplmc_chamberlain_treasury_action_pay_select:dplmc_chamberlain_treasury_action_pay.2|500.
dlga_dplmc_chamberlain_treasury_action_pay_select:dplmc_chamberlain_treasury_action_pay.3|1000.
dlga_dplmc_chamberlain_treasury_action_pay_select:dplmc_chamberlain_treasury_action_pay.4|2000.
dlga_dplmc_chamberlain_treasury_action_pay_select:dplmc_chamberlain_treasury_action_pay.5|5000.
dlga_dplmc_chamberlain_treasury_action_pay_select:dplmc_chamberlain_treasury_action_pay.6|10000.
dlga_dplmc_chamberlain_treasury_action_pay_select:dplmc_chamberlain_pretalk|Ничего.
dlga_dplmc_chamberlain_treasury_action:dplmc_chamberlain_treasury_action_withdraw|Я хочу взять деньги из казны.
dlga_dplmc_chamberlain_treasury_action_withdraw:dplmc_chamberlain_treasury_action_withdraw_select|У нас {s4} динар в казне. Сколько Вы хотите взять из казны, господин?
dlga_dplmc_chamberlain_treasury_action_withdraw_select:dplmc_chamberlain_treasury_action_withdraw|100.
dlga_dplmc_chamberlain_treasury_action_withdraw_select:dplmc_chamberlain_treasury_action_withdraw.1|200.
dlga_dplmc_chamberlain_treasury_action_withdraw_select:dplmc_chamberlain_treasury_action_withdraw.2|500.
dlga_dplmc_chamberlain_treasury_action_withdraw_select:dplmc_chamberlain_treasury_action_withdraw.3|1000.
dlga_dplmc_chamberlain_treasury_action_withdraw_select:dplmc_chamberlain_treasury_action_withdraw.4|2000.
dlga_dplmc_chamberlain_treasury_action_withdraw_select:dplmc_chamberlain_treasury_action_withdraw.5|5000.
dlga_dplmc_chamberlain_treasury_action_withdraw_select:dplmc_chamberlain_treasury_action_withdraw.6|10000.
dlga_dplmc_chamberlain_treasury_action_withdraw_select:dplmc_chamberlain_pretalk|Ничего.
dlga_dplmc_chamberlain_treasury_action:dplmc_chamberlain_pretalk|Спасибо, давайте поговорим о чем-нибудь еще.
dlga_dplmc_chamberlain_talk:dplmc_chamberlain_status|Доложите мне о финансовом состоянии феодов.
dlga_dplmc_chamberlain_status:dplmc_chamberlain_status_select_fief|О каком феоде Вы бы хотели узнать?
dlga_dplmc_chamberlain_status_select_fief:dplmc_chamberlain_pretalk|Ничего.
dlga_dplmc_chamberlain_talk:dplmc_chamberlain_tax|Я хочу установить размер пошлин.
dlga_dplmc_chamberlain_tax:dplmc_chamberlain_tax_select_center|Для какого феода?
dlga_dplmc_chamberlain_tax_select_center:dplmc_chamberlain_pretalk|Ничего.
dlga_dplmc_chamberlain_tax_ask_rate:dplmc_chamberlain_tax_select_rate|Как высоко установить пошлины для {s6}?
dlga_dplmc_chamberlain_tax_select_rate:dplmc_chamberlain_tax_ask_confirm|Очень низкие.
dlga_dplmc_chamberlain_tax_select_rate:dplmc_chamberlain_tax_ask_confirm.1|Низкие.
dlga_dplmc_chamberlain_tax_select_rate:dplmc_chamberlain_tax_ask_confirm.2|Нормальные.
dlga_dplmc_chamberlain_tax_select_rate:dplmc_chamberlain_tax_ask_confirm.3|Высокие.
dlga_dplmc_chamberlain_tax_select_rate:dplmc_chamberlain_tax_ask_confirm.4|Очень высокие.
dlga_dplmc_chamberlain_tax_select_rate:dplmc_chamberlain_pretalk|Ничего.
dlga_dplmc_chamberlain_tax_ask_confirm:dplmc_chamberlain_tax_confirm|Вы действительно хотите изменить размер пошлин для {s6} на {s11}?
dlga_dplmc_chamberlain_tax_confirm:dplmc_chamberlain_pretalk|Да.
dlga_dplmc_chamberlain_tax_confirm:dplmc_chamberlain_pretalk.1|Нет, я ошибся, думаю.
dlga_dplmc_chamberlain_talk:dplmc_chamberlain_manage_fiefs|Давайте что-нибудь построим.
dlga_dplmc_chamberlain_manage_fiefs:dplmc_chamberlain_manage_fiefs_options|На данных момент у нас есть {reg0} дополнительных строений в {reg1} из {reg2} владений. Хотите построить еще одно?
dlga_dplmc_chamberlain_manage_fiefs_options:dplmc_chamberlain_manage_fiefs_build|Да.
dlga_dplmc_chamberlain_manage_fiefs_options:dplmc_chamberlain_pretalk|Нет.
dlga_dplmc_chamberlain_manage_fiefs_build:dplmc_chamberlain_manage_fiefs_build_location|Где вы хотите построить новые здания?
dlga_dplmc_chamberlain_manage_fiefs_build_location:dplmc_chamberlain_manage_fiefs_build_ask|{s2}.
dlga_dplmc_chamberlain_manage_fiefs_build_location:dplmc_chamberlain_pretalk|Нигде.
dlga_dplmc_chamberlain_manage_fiefs_build_ask:dplmc_chamberlain_pretalk|{s19}  Сейчас вы строите {s7}. Зданий будет построено через {reg8} день{reg9?(ей):}. Мы должны подождать пока все построится.
dlga_dplmc_chamberlain_manage_fiefs_build_ask:dplmc_chamberlain_manage_fiefs_build_ask2|{s19}  Что вы хотите построить?
dlga_dplmc_chamberlain_manage_fiefs_build_ask2:dplmc_chamberlain_manage_fiefs_build_confirm_ask|Построить поместье.
dlga_dplmc_chamberlain_manage_fiefs_build_ask2:dplmc_chamberlain_manage_fiefs_build_confirm_ask.1|Построить мельницу..
dlga_dplmc_chamberlain_manage_fiefs_build_ask2:dplmc_chamberlain_manage_fiefs_build_confirm_ask.2|Построить наблюдательную вышку.
dlga_dplmc_chamberlain_manage_fiefs_build_ask2:dplmc_chamberlain_manage_fiefs_build_confirm_ask.3|Построить школу.
dlga_dplmc_chamberlain_manage_fiefs_build_ask2:dplmc_chamberlain_manage_fiefs_build_confirm_ask.4|Построить почту.
dlga_dplmc_chamberlain_manage_fiefs_build_ask2:dplmc_chamberlain_manage_fiefs_build_confirm_ask.5|Построить тюрьму.
dlga_dplmc_chamberlain_manage_fiefs_build_ask2:dplmc_chamberlain_pretalk|Ничего.
dlga_dplmc_chamberlain_manage_fiefs_build_confirm_ask:dplmc_chamberlain_manage_fiefs_confirm|Вы уверены что хотите построить {s4} за {reg5} в {s2}? Это займет {reg6} дней. На данный момент в казне можно найти {reg7} динар.
dlga_dplmc_chamberlain_manage_fiefs_confirm:dplmc_chamberlain_pretalk|Да.
dlga_dplmc_chamberlain_manage_fiefs_confirm:dplmc_chamberlain_pretalk.1|Нет, у меня нету денег.
dlga_dplmc_chamberlain_talk:dplmc_chamberlain_pools_ask|Я желаю навести порядок в общем инвентаре и домашним хозяйстве.
dlga_dplmc_chamberlain_pools_ask:dplmc_chamberlain_pools|Что Вы хотите сделать?
dlga_dplmc_chamberlain_pools:dplmc_chamberlain_pretalk|Я хочу навести порядок в общем инвентаре.
dlga_dplmc_chamberlain_pools:dplmc_chamberlain_item_pool|Пусть мои компаньоны выбирают снаряжение из общего инвентаря.
dlga_dplmc_chamberlain_item_pool:dplmc_chamberlain_item_pool_confirm|Вы уверены что хотите отдать приказ?
dlga_dplmc_chamberlain_item_pool_confirm:dplmc_chamberlain_pretalk|Да.
dlga_dplmc_chamberlain_item_pool_confirm:dplmc_chamberlain_pretalk.1|Нет, я пересмотрю свое решение.
dlga_dplmc_chamberlain_pools:dplmc_chamberlain_pretalk.1|Я бы хотел посмотреть на наши припасы.
dlga_dplmc_chamberlain_pools:dplmc_chamberlain_pretalk.2|Ничего.
dlga_dplmc_chamberlain_talk:dplmc_chamberlain_dismiss_confirm_ask|Ты уволен.
dlga_dplmc_chamberlain_dismiss_confirm_ask:dplmc_chamberlain_dismiss_confirm|Вы уверены, что хотите перебрать все Ваши финансовые дела?
dlga_dplmc_chamberlain_dismiss_confirm:dplmc_chamberlain_dismiss_confirm_yes|Да.
dlga_dplmc_chamberlain_dismiss_confirm:dplmc_chamberlain_pretalk|нет... пожалуй, нет.
dlga_dplmc_chamberlain_dismiss_confirm_yes:close_window|Как пожелаете. Начнем с документов, а потом проверим ваш статус.
dlga_dplmc_chamberlain_talk:close_window|О, нет, я просто хочу проверить документы.
dlga_spouse_talk:dplmc_spouse_staff_talk_ask|Я хочу нанять нового слугу.
dlga_dplmc_spouse_staff_talk_ask:dplmc_talk_staff|Кого Вы бы хотели нанять?
dlga_dplmc_talk_staff:dplmc_talk_appoint_constable|Я хочу назначить констебля.
dlga_dplmc_talk_appoint_constable:dplmc_talk_appoint_constable_confirm|Это - мудрая идея. Я могу предложить очень способного дворянина и друга моей семьи. Его зовут Миль де Глоукестер. Еженедельная плата составит 15 динар. Назначение будет стоить нам 20 динар.
dlga_dplmc_talk_appoint_constable_confirm:dplmc_talk_appoint_confirm_yes|Да будет так.
dlga_dplmc_talk_appoint_constable_confirm:spouse_pretalk|Может быть позже
dlga_dplmc_talk_appoint_constable_confirm:minister_pretalk|Может быть позже.
dlga_dplmc_talk_appoint_confirm_yes:spouse_pretalk|Я пошлю ему письмо, он должен скоро прибыть ко двору.
dlga_dplmc_talk_appoint_confirm_yes:minister_pretalk|Я отправлю ему послание и вскоре он прибудет ко двору.
dlga_dplmc_talk_staff:dplmc_talk_appoint_chamberlain|Я хочу назначить камергера, чтобы обращаться с финансовыми делами.
dlga_dplmc_talk_appoint_chamberlain:dplmc_talk_appoint_chamberlain_confirm|Это - мудрая идея. Я могу предложить очень способного дворянина и друга моей семьи? Его зовут Обри де Вера. Каждую неделю ему нужно платить 15 динар, и все. Назначение будет стоить нам 20 динар.
dlga_dplmc_talk_appoint_chamberlain_confirm:dplmc_talk_appoint_confirm_yes|Да будет так.
dlga_dplmc_talk_appoint_chamberlain_confirm:spouse_pretalk|Может быть позже
dlga_dplmc_talk_appoint_chamberlain_confirm:minister_pretalk|Может быть позже.
dlga_dplmc_talk_staff:dplmc_talk_appoint_chancellor|Я хочу назначить канцлера.
dlga_dplmc_talk_appoint_chancellor:dplmc_talk_appoint_chancellor_confirm|Это мудрая идея. Я могу предложить очень способного дворянина и друга моей семьи? Его зовут Херфаст. Каждую неделю он требует 20 динар и все. Назначение будет стоить нам 20 динар.
dlga_dplmc_talk_appoint_chancellor_confirm:dplmc_talk_appoint_confirm_yes|Да будет так.
dlga_dplmc_talk_appoint_chancellor_confirm:spouse_pretalk|Может быть позже.
dlga_dplmc_talk_appoint_chancellor_confirm:minister_pretalk|Может быть позже.
dlga_dplmc_talk_staff:minister_pretalk|Ничего.
dlga_dplmc_talk_staff:spouse_pretalk|Ничего.
dlga_spouse_talk:dplmc_spouse_talk_buy_food_amount_ask|Не могли бы Вы купить немного хлеба?
dlga_dplmc_spouse_talk_buy_food_amount_ask:dplmc_spouse_talk_buy_food_amount|Сколько нужно, мой супруг?
dlga_dplmc_spouse_talk_buy_food_amount:spouse_pretalk|Ничего.
dlga_dplmc_spouse_talk_buy_food:dplmc_spouse_talk_buy_food_confirm|Да конечно, я пойду к торговцу в {s6} и куплю немного хлеба. Это будет стоить нам {reg0} динар.
dlga_dplmc_spouse_talk_buy_food:spouse_pretalk|В настоящее время нет торговца с достаточным количеством хлеба. Мы должны подождать.
dlga_dplmc_spouse_talk_buy_food_confirm:close_window|Хорошо, мы можем позволить себе это. Продолжайте. Спасибо.
dlga_dplmc_spouse_talk_buy_food_confirm:close_window.1|Ох, может быть позже.
dlga_minister_talk:dplmc_minister_staff_talk_ask|Я хочу нанять нового слугу.
dlga_dplmc_minister_staff_talk_ask:dplmc_talk_staff|Кого именно Вы бы хотели нанять?
dlga_lord_talk:dplmc_lord_give_back_fief|{s66}, я хочу отказаться от феодального владения.
dlga_dplmc_lord_give_back_fief:dplmc_lord_give_back_fief_select|О, значит Вы не сможете управлять этим? Хорошо, какое феодальное владение Вы имеете в виду?
dlga_dplmc_lord_give_back_fief_select:lord_pretalk|Неважно.
dlga_dplmc_lord_give_back_fief_confirm_ask:dplmc_lord_give_back_fief_confirm|Итак, Вы думаете, что не можете выполнить свое обещание и возглавить {s11}?
dlga_dplmc_lord_give_back_fief_confirm:lord_pretalk|Да я хочу отказаться от {s11}.
dlga_dplmc_lord_give_back_fief_confirm:lord_pretalk.1|Нет, я сдержу обещание.
dlga_lord_talk:dplmc_lord_declare_war|{s66}, Вы объявили войну королевству.
dlga_dplmc_lord_declare_war:close_window|Как Вы посмели?! Кем Вы себя возомнили?! Прочь с моих глаз!!!
dlga_dplmc_lord_declare_war:dplmc_lord_declare_war_kingdoms_select|Против кого?
dlga_dplmc_lord_declare_war_kingdoms_select:dplmc_lord_declare_war_ask_why|{s11}
dlga_dplmc_lord_declare_war_kingdoms_select:lord_pretalk|Неважно.
dlga_dplmc_lord_declare_war_ask_why:dplmc_lord_declare_war_why|Почему я должен объявить войну {s11}?
dlga_dplmc_lord_declare_war_why:dplmc_lord_declare_war_anything_else|Они слабее, и мы можем легко разбить их.
dlga_dplmc_lord_declare_war_why:dplmc_lord_declare_war_anything_else.1|Больше мы не можем терпеть их провокации.
dlga_dplmc_lord_declare_war_why:dplmc_lord_declare_war_anything_else.2|Они уже давно воюют и сейчас слабы как никогда.
dlga_dplmc_lord_declare_war_why:dplmc_lord_declare_war_anything_else.3|Сейчас самое время для атаки.
dlga_dplmc_lord_declare_war_why:dplmc_lord_declare_war_anything_else.4|Мы должны вернуть земли, принадлежащие нам по праву.
dlga_dplmc_lord_declare_war_why:dplmc_lord_declare_war_decision|Я указал все причины для войны. Пожалуйста, подумайте об этом!
dlga_dplmc_lord_declare_war_why:lord_pretalk|Мне нужно обдумать это в тишине и покое.
dlga_dplmc_lord_declare_war_anything_else:dplmc_lord_declare_war_why|Хорошо, что-нибудь еще?
dlga_dplmc_lord_declare_war_decision:close_window|Подпоясайте свой меч, мы идем на войну против {s11}.
dlga_dplmc_lord_declare_war_decision:close_window.1|Нет, я не убежден. Мы не станем атаковать {s11}.
dlga_lord_talk_ask_something_2:dplmc_lord_family_affiliate_end|Мой долг перед Вашей семьей выполнен, и хочу освободиться от своей клятвы.
dlga_dplmc_lord_family_affiliate_end:script_dplmc_affiliate_confirm|Что Вы сказали?.
dlga_script_dplmc_affiliate_confirm:dplmc_lord_family_affiliate_leave|Я больше не хочу принадлежать к Вашему дому.
dlga_script_dplmc_affiliate_confirm:lord_pretalk|А, ничего.
dlga_dplmc_lord_family_affiliate_leave:close_window|Вы осмеливаетесь стоять здесь и глядя мне в глаза говорить о своем отречении! Что ж, Ваше предательство не становится серьезнее от Вашей откровенности. Мой клан разочарован в Вас, {playername}. каждый будет оценивать Ваш поступок по своей совести, но... Вы так поразили меня своей странной верностью, что я лично расскажу знати всей Кальрадии о Вашей легкомысленности.
dlga_lord_talk_ask_something_2:dplmc_lord_family_affiliate|Я с глубочайшим уважением отношусь к Вашей родословной и хочу принадлежать к Вашей семье.
dlga_dplmc_lord_family_affiliate:lord_pretalk|Нет, никаких шансов. Вы мне не нравитесь, поэтому не получите моего покровительства..
dlga_dplmc_lord_family_affiliate_response:dplmc_lord_family_affiliate_persuasion|Прошу Вас, позвольте мне служить Вашей семье.
dlga_dplmc_lord_family_affiliate_response:lord_pretalk|С другой стороны, я могу пересмотреть свое решение....
dlga_dplmc_lord_family_affiliate_persuasion:lord_pretalk|Возможно, я еще не слышал хороших отзывов о Вас от моей семьи. Или, может быть, мне просто нужно время чтобы привыкнуть к этой мысли. Давайте поговорим об этом позже, например, на следующей неделе....
dlga_dplmc_lord_family_affiliate_thank:dplmc_lord_family_affiliate_conclusion|Для меня принадлежать к Вашей семье - большая честь, я горжусь этим.
dlga_dplmc_lord_family_affiliate_conclusion:lord_pretalk|Вы поклялись в верности нашей семье, теперь все мои братья - ваши братья. Наше братство подобно рыцарству: никогда не предавать свою семью, всегда защищать ее.
dlga_spouse_talk:dplmc_spouse_move_residence_ask|Я бы хотел переместить наш двор.
dlga_dplmc_spouse_move_residence_ask:dplmc_spouse_move_residence_tools|Перемещение нашего двора потребует небольших затрат. В частности нам нужно немного инструментов и два  тюка льна на складе.
dlga_dplmc_spouse_move_residence_tools:dplmc_spouse_move_residence_select_ask|Хорошо, я думаю, что у нас есть все необходимые вещи, чтобы установить двор.
dlga_dplmc_spouse_move_residence_tools:spouse_pretalk|Хорошо, я полагаю, что я должен получить набор инструментов и немного шерсти сначала.
